Date,Symbol,DataSource,Currency,Price,Quantity,Type,Fee,Note
2024-01-10,VOO,YAHOO,USD,440.00,20,buy,0,Index fund core
2024-01-10,bitcoin,COINGECKO,USD,46000.00,0.30,buy,0,BTC allocation
2024-02-05,AAPL,YAHOO,USD,188.00,15,buy,0,
2024-02-15,ethereum,COINGECKO,USD,2500.00,4.00,buy,0,
2024-03-01,MSFT,YAHOO,USD,410.00,10,buy,0,
2024-03-20,solana,COINGECKO,USD,110.00,40.00,buy,0,
2024-04-15,NVDA,YAHOO,USD,875.00,6,buy,0,AI play
2024-05-10,bitcoin,COINGECKO,USD,62000.00,0.15,buy,0,BTC DCA
2024-06-01,TSLA,YAHOO,USD,178.50,20,buy,0,
2024-07-15,VOO,YAHOO,USD,505.00,8,buy,0,DCA
2024-08-20,ethereum,COINGECKO,USD,2650.00,2.00,buy,0,
2024-09-15,VOO,YAHOO,USD,0.80,28,dividend,0,Q3 dividend
2024-10-01,AAPL,YAHOO,USD,0.25,15,dividend,0,
2024-11-10,bitcoin,COINGECKO,USD,87000.00,0.10,buy,0,
2024-12-01,NVDA,YAHOO,USD,140.00,10,buy,0,Post-split
2024-12-20,VOO,YAHOO,USD,0.85,28,dividend,0,Q4 dividend
2025-01-15,TSLA,YAHOO,USD,395.00,10,sell,0,Took profits
2025-02-01,solana,COINGECKO,USD,200.00,15.00,sell,0,Rebalance
